name,price,status,shipping,free_returns,items_sold
NEW MPG SPORT XL EXTRA LARGE SWEATER JACKET GRAY OVERSIZED GRAY CAR COAT,300,New (Other),1465,False,
MINI BODEN BOYS CAMO SIZE 2-3 FLEECE LINED WINTER PARKA JACKET RED GRAY,1400,Pre-Owned,1465,False,
HANNA ANDERSSON 90 3T BOYS LOT 2 PC POLO TOPS SHIRTS GREEN BLUE STRIPES,300,Pre-Owned,615,False,
"Amber & Ash Fold Over Tote Lightweight Durable Lipstick Red for 13"" Laptop Baby",3999,Brand New,885,False,
Monster Eyes School Backpack w/Laptop Slot Travel Outdoor Luminous Party Bags,999,Brand New,,False,
Men Women Bag Backpack School Travel Shoulder Rucksack Laptop Usb Charging Bag,1999,Brand New,0,True,
Unisex Anti-Theft Laptop Backpack USB Charging Port Notebook Bag Travel School,1999,Brand New,0,True,
"Men's 18"" goat leather messenger Real satchel bag genuine laptop brown briefcase",3600,New (Other),0,True,17
"THE NORTH FACE WOMEN'S JESTER LUXE COLLECTION 27L , LAPTOP BACKPACK",7999,Brand New,,False,
"Handmade Men 18"" Genuine Leather Vintage Laptop Messenger Briefcase Bag Satchel",2850,New (Other),0,True,0
Louis Vuitton I Care Laptop Briefcase ,200000,Brand New,0,False,
Nike Air Jordan 13 Retro Backpack Bookbag Lakers 9A1898-P6N Laptop Sneaker Bag,8500,Brand New,0,True,
"Laptop Bag Case With Shoulder Strap For 13""14"" 15.6'' inch HP Lenovo Asus Mac",1368,Brand New,,True,
Swiss Tech Vezio 25 Liter Unisex Laptop Backpack Charcoal Gray NWT,1688,Brand New,1100,False,
Ogio Metro Ballistic Backpack w/ Laptop Sleeve 711107 - New 2021,6499,Brand New,0,True,0
Nike Heritage 2.0 Logo Backpack Book Bag w/ Laptop Pocket Sleeve FREE SHIPPING,3595,Brand New,0,True,275
Oakley Bathroom Sink Laptop Backpack Bag Black / Silver 23L *DISPLAY MODEL* NWT,13995,Brand New,0,False,11
17inch Aluminum Hard Case Document Organizer Box Protective Laptop Briefcase,6799,Brand New,,False,0
NWT Kipling BP4361 Seoul Go Backpack Laptop Travel Bag Nylon Robot Friends Multi,8495,Brand New,,True,
